countrycode,year,rgdpe
GNQ,1960,107.23
GNQ,1961,109.89
GNQ,1962,111.98
GNQ,1963,148.93
GNQ,1964,142.29
GNQ,1965,129.68
GNQ,1966,150.15
GNQ,1967,162.37
GNQ,1968,182.26
GNQ,1969,190.26
GNQ,1970,153.61
GNQ,1971,164.53
GNQ,1972,170.34
GNQ,1973,182.67
GNQ,1974,184.98
GNQ,1975,213.21
GNQ,1976,221.75
GNQ,1977,238.3
GNQ,1978,210.08
GNQ,1979,202.96
GNQ,1980,207.98
GNQ,1981,215.31
GNQ,1982,211.88
GNQ,1983,257.01
GNQ,1984,264.73
GNQ,1985,215.91
GNQ,1986,186.19
GNQ,1987,154.81
GNQ,1988,182.14
GNQ,1989,209.78
GNQ,1990,164.63
GNQ,1991,157.91
GNQ,1992,189.12
GNQ,1993,204.17
GNQ,1994,147.03
GNQ,1995,258.78
GNQ,1996,416.12
GNQ,1997,901.73
GNQ,1998,750.61
GNQ,1999,1211.98
GNQ,2000,1969.97
GNQ,2001,2657.77
GNQ,2002,5141.41
GNQ,2003,4678.31
GNQ,2004,7433.59
GNQ,2005,10575.49
GNQ,2006,9475.2
GNQ,2007,9526.83
GNQ,2008,11999.64
GNQ,2009,6614.13
GNQ,2010,6180.34
GNQ,2011,8244.8
GRC,1950,
GRC,1951,21379.11
GRC,1952,20949.54
GRC,1953,23387.81
GRC,1954,24005.55
GRC,1955,25791.98
GRC,1956,28104.54
GRC,1957,30143.12
GRC,1958,31768.33
GRC,1959,32949.57
GRC,1960,33467.58
GRC,1961,38172.51
GRC,1962,37829.6
GRC,1963,42701.46
GRC,1964,46067.83
GRC,1965,51086.32
GRC,1966,55287.68
GRC,1967,58435.69
GRC,1968,62332.96
GRC,1969,69676.51
GRC,1970,76004.88
GRC,1971,81899.7
GRC,1972,90119.02
GRC,1973,97498.17
GRC,1974,90121.77
GRC,1975,94505.02
GRC,1976,101007.84
GRC,1977,104101.05
GRC,1978,111758.41
GRC,1979,114845.71
GRC,1980,115103.24
GRC,1981,115796.77
GRC,1982,113398.57
GRC,1983,112998.61
GRC,1984,115348.41
GRC,1985,119303.3
GRC,1986,124474.25
GRC,1987,123524.55
GRC,1988,133143.53
GRC,1989,140230.53
GRC,1990,143854.7
GRC,1991,153547.16
GRC,1992,157626.7
GRC,1993,159724.16
GRC,1994,168383.77
GRC,1995,177226.27
GRC,1996,182775.84
GRC,1997,196642.98
GRC,1998,205992.58
GRC,1999,213486.42
GRC,2000,223624.75
GRC,2001,236080.33
GRC,2002,250645.7
GRC,2003,256601.45
GRC,2004,269891.16
GRC,2005,265721.81
GRC,2006,283695.75
GRC,2007,295128.94
GRC,2008,305474.91
GRC,2009,301185.25
GRC,2010,291878.44
GRC,2011,270120.56
GRD,1950,
GRD,1951,
GRD,1952,
GRD,1953,
GRD,1954,
GRD,1955,
GRD,1956,
GRD,1957,
GRD,1958,
GRD,1959,
GRD,1960,
GRD,1961,
GRD,1962,
GRD,1963,
GRD,1964,
GRD,1965,
GRD,1966,
GRD,1967,
GRD,1968,
GRD,1969,
GRD,1970,144.44
GRD,1971,154.41
GRD,1972,168.54
GRD,1973,178.39
GRD,1974,191.29
GRD,1975,210.39
GRD,1976,227.81
GRD,1977,220.65
GRD,1978,232.65
GRD,1979,233.27
GRD,1980,229.13
GRD,1981,222.53
GRD,1982,233.91
GRD,1983,242.78
GRD,1984,263.29
GRD,1985,282.92
GRD,1986,286.44
GRD,1987,327.08
GRD,1988,337.94
GRD,1989,377.64
GRD,1990,402.12
GRD,1991,411.77
GRD,1992,465.72
GRD,1993,465.43
GRD,1994,499.73
GRD,1995,508.41
GRD,1996,582.97
GRD,1997,608.18
GRD,1998,656.17
GRD,1999,690.39
GRD,2000,744.61
GRD,2001,736.71
GRD,2002,751.77
GRD,2003,789.28
GRD,2004,762.22
GRD,2005,806.77
GRD,2006,812.07
GRD,2007,857.7
GRD,2008,897.89
GRD,2009,868.17
GRD,2010,885.48
GRD,2011,887.99
GTM,1950,6682.61
GTM,1951,6757.33
GTM,1952,6910.12
GTM,1953,7199.81
GTM,1954,7435.61
GTM,1955,7513.66
GTM,1956,8145.72
GTM,1957,8496.72
GTM,1958,8741.47
GTM,1959,9164.5
GTM,1960,9399.43
GTM,1961,9732
GTM,1962,10116.88
GTM,1963,10888.47
GTM,1964,11437.63
GTM,1965,11808.78
GTM,1966,12401.22
GTM,1967,12777.2
GTM,1968,13800.43
GTM,1969,14546.71
GTM,1970,15695.09
GTM,1971,16200.77
GTM,1972,17240.54
GTM,1973,18392.76
GTM,1974,18845.98
GTM,1975,19352.06
GTM,1976,20515.71
GTM,1977,23160.82
GTM,1978,23555.57
GTM,1979,24362.46
GTM,1980,25275.39
GTM,1981,25180.15
GTM,1982,24655.51
GTM,1983,24607.58
GTM,1984,24875.39
GTM,1985,24503.02
GTM,1986,25605.01
GTM,1987,25115.85
GTM,1988,26209
GTM,1989,27143.87
GTM,1990,28133.74
GTM,1991,29585.29
GTM,1992,29878.77
GTM,1993,31489.56
GTM,1994,33189.44
GTM,1995,34980.82
GTM,1996,35955.46
GTM,1997,37537.68
GTM,1998,39244.5
GTM,1999,40478.51
GTM,2000,41884.82
GTM,2001,43037.18
GTM,2002,44322.16
GTM,2003,45059.43
GTM,2004,45751.31
GTM,2005,46839.05
GTM,2006,48991.14
GTM,2007,52091.14
GTM,2008,54739.7
GTM,2009,57988.88
GTM,2010,60004.34
GTM,2011,62216.96
HKG,1950,
HKG,1951,
HKG,1952,
HKG,1953,
HKG,1954,
HKG,1955,
HKG,1956,
HKG,1957,
HKG,1958,
HKG,1959,
HKG,1960,10350.84
HKG,1961,10985.47
HKG,1962,12619.1
HKG,1963,14816.27
HKG,1964,16163.27
HKG,1965,18896.31
HKG,1966,19744.13
HKG,1967,20843.94
HKG,1968,22230.62
HKG,1969,24863.33
HKG,1970,27150.12
HKG,1971,29870.3
HKG,1972,33517.14
HKG,1973,37231.74
HKG,1974,36480.17
HKG,1975,38184.43
HKG,1976,44844.99
HKG,1977,49919.08
HKG,1978,54382.93
HKG,1979,60507.01
HKG,1980,67339.56
HKG,1981,71063.86
HKG,1982,73871.6
HKG,1983,76914.27
HKG,1984,85275.51
HKG,1985,88426.15
HKG,1986,94993.73
HKG,1987,107265.84
HKG,1988,115553.3
HKG,1989,121437.45
HKG,1990,126775.95
HKG,1991,136448.98
HKG,1992,147923.45
HKG,1993,160054.06
HKG,1994,170670.05
HKG,1995,175142.48
HKG,1996,190411.78
HKG,1997,204809.75
HKG,1998,196964.47
HKG,1999,198738.02
HKG,2000,216013.36
HKG,2001,220120.27
HKG,2002,230353.77
HKG,2003,235811.78
HKG,2004,249279.61
HKG,2005,267449.19
HKG,2006,279911.81
HKG,2007,299505.09
HKG,2008,302319.41
HKG,2009,295500.06
HKG,2010,311154.22
HKG,2011,323315.97
HND,1950,2844.95
HND,1951,2936.56
HND,1952,2982.16
