Country,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2014,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2013,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2012,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2011,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2010,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2009,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2008,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2007,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2006,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2005,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2004,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2003,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2002,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2001,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2000,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1999,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1998,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1997,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1996,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1995,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1994,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1993,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1992,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1991,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1990,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1989,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1988,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1987,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1986,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1985,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1984,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1983,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1982,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1981,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1980
Swaziland,98,98,95,91,89.0,88.0,88.0,87.0,87.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,82.0,82.0,82.0,96.0,89.0,93.0,79.0,89.0,89.0,89.0,86.0,74.0,61.0,50.0,43.0,39.0,30.0,
Sweden,98,98,98,98,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Switzerland,96,96,96,96,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,,,,,,
Syrian Arab Republic,43,41,45,72,80.0,80.0,79.0,80.0,80.0,80.0,81.0,83.0,84.0,82.0,84.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,89.0,89.0,91.0,94.0,59.0,42.0,86.0,29.0,25.0,21.0,15.0,14.0,13.0
Tajikistan,97,96,94,96,93.0,93.0,86.0,86.0,83.0,84.0,86.0,85.0,85.0,85.0,83.0,82.0,79.0,81.0,75.0,80.0,81.0,64.0,72.0,,,,,,,,,,,,
Thailand,99,99,99,99,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,97.0,97.0,96.0,95.0,94.0,96.0,93.0,89.0,85.0,90.0,92.0,84.0,80.0,75.0,66.0,62.0,53.0,49.0,49.0,52.0,49.0
The former Yugoslav republic of Macedonia,95,98,95,96,95.0,96.0,95.0,95.0,93.0,97.0,94.0,96.0,96.0,91.0,95.0,95.0,94.0,97.0,93.0,95.0,88.0,90.0,,,,,,,,,,,,,
Timor-Leste,77,82,83,67,72.0,72.0,79.0,70.0,63.0,55.0,57.0,55.0,54.0,,,,,,,,,,,,,,,,,,,,,,
Togo,87,84,84,85,83.0,78.0,81.0,82.0,84.0,82.0,71.0,72.0,59.0,50.0,64.0,57.0,42.0,42.0,50.0,58.0,62.0,66.0,69.0,73.0,77.0,72.0,54.0,61.0,37.0,24.0,11.0,18.0,14.0,9.0,
Tonga,82,82,77,82,82.0,84.0,86.0,87.0,88.0,89.0,90.0,90.0,84.0,89.0,91.0,91.0,96.0,96.0,99.0,95.0,89.0,96.0,99.0,88.0,94.0,93.0,92.0,99.0,75.0,92.0,51.0,63.0,52.0,37.0,40.0
Trinidad and Tobago,92,92,92,90,90.0,90.0,90.0,88.0,92.0,95.0,94.0,91.0,96.0,91.0,90.0,90.0,91.0,90.0,89.0,89.0,85.0,81.0,87.0,82.0,82.0,77.0,82.0,79.0,70.0,75.0,65.0,60.0,54.0,62.0,26.0
Tunisia,98,98,97,98,98.0,99.0,99.0,98.0,99.0,98.0,97.0,95.0,96.0,98.0,97.0,99.0,96.0,96.0,95.0,94.0,93.0,94.0,95.0,93.0,93.0,93.0,91.0,84.0,72.0,70.0,66.0,62.0,,,
Turkey,96,98,97,97,97.0,96.0,96.0,96.0,90.0,90.0,85.0,68.0,78.0,88.0,85.0,79.0,81.0,79.0,72.0,67.0,87.0,76.0,77.0,72.0,84.0,79.0,86.0,86.0,45.0,55.0,56.0,56.0,58.0,64.0,42.0
Turkmenistan,98,98,97,97,96.0,96.0,96.0,98.0,98.0,99.0,97.0,83.0,98.0,95.0,97.0,98.0,99.0,98.0,97.0,93.0,90.0,73.0,84.0,,,,,,,,,,,,
Tuvalu,90,90,97,96,89.0,88.0,99.0,97.0,97.0,93.0,98.0,93.0,98.0,96.0,82.0,83.0,94.0,77.0,97.0,87.0,99.0,80.0,70.0,74.0,99.0,85.0,89.0,59.0,73.0,52.0,37.0,79.0,72.0,49.0,36.0
Uganda,78,78,78,82,80.0,79.0,71.0,73.0,64.0,64.0,62.0,59.0,57.0,55.0,52.0,50.0,48.0,56.0,57.0,59.0,60.0,56.0,53.0,49.0,45.0,42.0,38.0,30.0,21.0,14.0,14.0,14.0,12.0,9.0,
Ukraine,76,76,76,50,52.0,71.0,90.0,98.0,98.0,96.0,99.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,97.0,93.0,88.0,,,,,,,,,,,,
United Arab Emirates,94,94,94,94,94.0,93.0,92.0,92.0,92.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,90.0,90.0,90.0,90.0,86.0,85.0,85.0,84.0,82.0,80.0,78.0,76.0,59.0,50.0,43.0,45.0,11.0
United Kingdom of Great Britain and Northern Ireland,95,95,95,95,94.0,93.0,92.0,92.0,92.0,91.0,92.0,91.0,91.0,91.0,91.0,92.0,91.0,92.0,94.0,94.0,93.0,93.0,92.0,88.0,84.0,78.0,75.0,73.0,67.0,65.0,65.0,59.0,53.0,46.0,41.0
United Republic of Tanzania,97,91,92,90,91.0,85.0,86.0,83.0,90.0,90.0,95.0,95.0,89.0,87.0,79.0,76.0,79.0,79.0,82.0,81.0,84.0,83.0,83.0,81.0,78.0,77.0,85.0,79.0,74.0,67.0,58.0,52.0,50.0,55.0,59.0
United States of America,94,94,96,95,95.0,95.0,96.0,95.0,96.0,96.0,96.0,96.0,94.0,94.0,94.0,96.0,96.0,96.0,95.0,95.0,94.0,88.0,83.0,86.0,90.0,94.0,97.0,97.0,97.0,96.0,97.0,97.0,96.0,96.0,96.0
