year,avh,BCG,ccon,cda,cgdpe,cgdpo,ck,cor_exp,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,DTP3,emp,expend,hc,HepB3,Hib3,i_cig,i_outlier,i_xm,i_xr,labsh,MCV,PAB,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_x,Pol3,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rtfpna,rwtfpna,sani,statcap,water,xr,country
977,NA,NA,11969.1689453125,14315.22265625,14765.2744140625,14779.3095703125,10530.1123046875,NA,0.532727718353271,0.27713206410408,0.158739030361176,-0.00195961259305477,0.0180623233318329,0.0152984708547592,NA,NA,0.0341683588922024,NA,NA,NA,1.50085926055908,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.732079803943634,NA,NA,0.334209829079638,0.309089541435242,0.317194759845734,0.260801135428649,0.316893517971039,0.35854617555242,0.391724526882172,0.309822738170624,0.296916216611862,NA,6.580739,5375.82177734375,6113.76611328125,15555.6533203125,8599.107421875,14749.6591796875,63015.5625,NA,NA,NA,NA,NA,1.0,ZWE
978,NA,NA,14223.1220703125,15675.322265625,16243.3125,16242.6435546875,10641.171875,NA,0.521980285644531,0.353685200214386,0.0894066542387009,-0.00115238910075277,0.0336451046168804,0.00243518082424998,NA,NA,0.0346413180232048,NA,NA,NA,1.51471495628357,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.709299504756927,NA,NA,0.332799159504816,0.281035780906677,0.288467794656754,0.204641699066397,0.288479655981064,0.361258072172317,0.394123584032059,0.310666114091873,0.30368784070015,NA,6.796946,6267.8681640625,6489.66796875,17150.83984375,8413.87890625,16250.1025390625,62416.765625,NA,NA,NA,NA,NA,1.0,ZWE
979,NA,NA,15453.900390625,17021.50390625,17049.669921875,17046.802734375,10803.0283203125,NA,0.562484920024872,0.344072163105011,0.0919587910175323,-0.00117596809286624,0.000658990407828242,0.00200108555145562,NA,NA,0.0340464524924755,NA,NA,NA,1.52869844436646,NA,NA,Extrapolated,Regular,Extrapolated,Market,0.681626498699188,NA,NA,0.364859607518396,0.316205650568008,0.326023757457733,0.236666735308264,0.326078593730927,0.422813538492426,0.447513222694397,0.422617524862289,0.410176873207092,NA,7.031159,6873.650390625,7113.4716796875,18017.482421875,8733.8193359375,17068.169921875,61838.66015625,NA,NA,NA,NA,NA,1.0,ZWE
980,NA,NA,16103.5986328125,18694.59765625,18190.11328125,18124.984375,11040.94921875,0.548869038564853,0.528924942016602,0.359550207853317,0.142951741814613,-0.0219277013093233,-0.0581448897719383,0.0486457087099552,0.687908887863159,0.716510474681854,0.0332587100565434,NA,2.42326617240906,NA,1.54281103610992,NA,NA,Benchmark,Regular,Extrapolated,Market,0.697569072246552,NA,NA,0.441778319864945,0.377600431442261,0.392942041158676,0.283190011919216,0.39435401558876,0.488293533294068,0.533380270004272,0.444520771503448,0.446904599666595,NA,7.289083,7027.708984375,7795.89111328125,19072.029296875,9657.1572265625,18002.82421875,61610.01171875,1.1598334312439,0.668317437171936,NA,NA,NA,1.0,ZWE
981,NA,64.0,19873.962890625,23594.517578125,22283.943359375,22204.4453125,11261.435546875,NA,0.549396991729736,0.34564733505249,0.167558968067169,-0.0451031289994717,-0.0822205320000648,0.0647203996777534,0.806310832500458,0.861534833908081,0.0326705910265446,39.0,2.53912377357483,NA,1.57437610626221,NA,NA,Interpolated,Regular,Extrapolated,Market,0.701206564903259,56.0,NA,0.433805744656728,0.364016056060791,0.385902345180511,0.253087294200524,0.387283980846405,0.502811651020489,0.595142066478729,0.413295209407806,0.428094983100891,38.0,7.571965,8236.072265625,9535.7431640625,23272.087890625,10866.7568359375,22006.220703125,62004.5390625,1.25114238262177,0.783667862415314,NA,NA,NA,1.0,ZWE
982,NA,65.0,21815.083984375,24966.111328125,23644.8125,23591.732421875,11521.2041015625,NA,0.556398153305054,0.368293732404709,0.133564874529839,-0.0517904125154018,-0.0720971077680588,0.0656307265162468,0.818560063838959,0.864805817604065,0.0322719477117062,46.0,2.64577126502991,NA,1.60658693313599,NA,NA,Interpolated,Regular,Extrapolated,Market,0.712388575077057,58.0,NA,0.417066882301426,0.35992556810379,0.387675911188126,0.273599613405831,0.388548195362091,0.579796162140922,0.618461012840271,0.384604007005692,0.399500757455826,46.0,7.876414,8422.3515625,9421.7255859375,24571.908203125,11153.01953125,23280.40625,62560.4375,1.23279845714569,0.743362665176392,NA,NA,NA,1.0,ZWE
983,NA,67.0,26006.57421875,28237.173828125,27600.375,27483.052734375,11131.666015625,NA,0.615849673748016,0.330427080392838,0.0811627432703972,-0.0438133291900158,-0.0465457402169704,0.0629195347428322,1.00990378856659,1.02275466918945,0.0340999774634838,53.0,2.76157331466675,NA,1.63945686817169,NA,NA,Interpolated,Regular,Extrapolated,Market,0.649969935417175,60.0,NA,0.311448273778138,0.279988378286362,0.301950126886368,0.221353473893526,0.303239166736603,0.558002483245672,0.573757767677307,0.34914094209671,0.356251180171967,53.0,8.197564,9546.462890625,9930.9716796875,28736.375,11329.8291015625,27153.548828125,62998.79296875,1.1930685043335,0.746456444263458,NA,NA,NA,1.0,ZWE
984,NA,69.0,23950.05078125,26317.63671875,26274.947265625,26168.130859375,11034.8974609375,NA,0.543182492256165,0.372054815292358,0.0904759168624878,-0.0956444442272186,-0.010794579051435,0.100725762546062,0.815943717956543,0.7970130443573,0.0363205745816231,60.0,2.87988758087158,NA,1.67299914360046,NA,NA,Interpolated,Regular,Benchmark,Market,0.70793890953064,62.0,31.0,0.260987679994141,0.234469756484032,0.259501606225967,0.195754845347239,0.260560870170593,0.512719117217821,0.529525637626648,0.383326172828674,0.387709528207779,61.0,8.528328,8053.35888671875,8748.73046875,27469.474609375,11113.728515625,25944.5625,62902.96484375,1.11525332927704,0.626656413078308,NA,NA,NA,1.0,ZWE
985,NA,76.0,26389.4296875,29033.142578125,29027.83203125,28634.1171875,10921.0673828125,0.517150796744731,0.566053748130798,0.355554223060608,0.092327393591404,-0.0876207649707794,-0.0120542319491506,0.0857396498322487,0.916364371776581,0.8984454870224,0.0375048406422138,63.0,3.01858901977539,NA,1.70722782611847,NA,NA,Benchmark,Regular,Benchmark,Market,0.657809615135193,78.0,44.0,0.264289729848354,0.238165184855461,0.260019987821579,0.196574069607374,0.263595223426819,0.478173607728276,0.468533486127853,0.357355535030365,0.401692599058151,63.0,8.862601,8190.236328125,9088.2919921875,30168.53515625,11885.515625,28209.712890625,62629.98828125,1.13871610164642,0.621513247489929,NA,NA,NA,1.0,ZWE
986,NA,94.0,26957.40234375,29886.640625,30472.546875,30118.439453125,11766.9326171875,NA,0.525651097297668,0.369395345449448,0.0972573310136795,-0.0800197720527649,0.0110613014549017,0.0766546651721001,0.965055704116821,0.925442934036255,0.0378615371882915,75.0,3.14919185638428,NA,1.72631478309631,NA,NA,Interpolated,Regular,Benchmark,Market,0.613769888877869,83.0,56.0,0.283996203118429,0.250482469797134,0.273153841495514,0.202792325456535,0.276365399360657,0.48179548779999,0.473266839981079,0.408810764551163,0.456198632717133,82.0,9.198874,8086.9892578125,9066.357421875,31386.482421875,12138.53125,29521.341796875,62501.4921875,1.13255107402802,0.603802919387817,NA,NA,NA,1.0,ZWE
